update-data post summary

mendicant-bhikkhu  11503 match(es), 2706 file(s)
immersion-concentration  2190 match(es), 823 file(s)
patisambhida-analytical-knowledge  22 match(es), 9 file(s)
dhamma-the-dhamma  6 match(es), 6 file(s)
atapi-ardent  540 match(es), 214 file(s)
satipatthana-establishment-of-mindfulness  366 match(es), 135 file(s)
samudaya-arising  892 match(es), 342 file(s)
vaya-passing-away  171 match(es), 44 file(s)
atthangama-disappearing  328 match(es), 171 file(s)
udayabbaya-arising-passing-away  22 match(es), 17 file(s)
viparinama-annathatta-change-unstable  90 match(es), 24 file(s)
viparinama-anuparivatti-changing  16 match(es), 2 file(s)
paritassati-agitated  103 match(es), 31 file(s)
vitakka-vicara-thought-examination  346 match(es), 114 file(s)
yoniso-proper-attention  367 match(es), 85 file(s)
abhisankharoti-generate  54 match(es), 19 file(s)
sankhara-volitional-formations  985 match(es), 329 file(s)
samudaya-exclamation-arising  2 match(es), 2 file(s)
samudaya-exclamation-arising-vipassi  1 match(es), 1 file(s)
samudaya-exclamation-arising-dn14  1 match(es), 1 file(s)
paritassana-not-occupy-mind-form  1 match(es), 1 file(s)
paritassana-not-occupy-mind-consciousness  1 match(es), 1 file(s)
paritassana-not-occupy-their-mind-form  1 match(es), 1 file(s)
paritassana-not-occupy-their-mind-consciousness  1 match(es), 1 file(s)
sn43-3-thought-examination-title  1 match(es), 1 file(s)
an3-23-volitional-formations-title  1 match(es), 1 file(s)
sn33-4-volitional-formations-title  1 match(es), 1 file(s)
dn9-cetana-sankhara-question-single  1 match(es), 1 file(s)
dn9-cetana-sankhara-question-double  1 match(es), 1 file(s)
dn9-cetana-sankhara-answer  1 match(es), 1 file(s)
snp3-12-stilling-of-all-activities  1 match(es), 1 file(s)
snp3-12-sankhara-have-faded  1 match(es), 1 file(s)
an3-49-ardent-in-preventing  1 match(es), 1 file(s)
an3-49-ardent-in-preventing-answer  1 match(es), 1 file(s)
mind-had-become-composed-past-lives  5 match(es), 5 file(s)
mind-had-become-composed-rebirth  4 match(es), 4 file(s)
mind-had-become-composed-defilements  5 match(es), 5 file(s)
collected-my-mind-internally  2 match(es), 1 file(s)
collected-my-mind-same-subject  1 match(es), 1 file(s)
blurb-openers  61 match(es), 2 file(s)
